comparison_row,case_id
207,-5725085268238981535
208,-5732857245539407305
209,-5759983830642479138
210,-5773542380724506264
211,-580190445123166798
212,-5857930516640788508
213,-5870484252477872901
214,-5944492305706296082
215,-5950660837920099035
216,-5985187582348783309
217,-6020814934897747901
218,-611262731968854358
219,-6126300786849773025
220,-6142155352076831737
221,-6160910001139376345
222,-6212634883634676939
223,-6245990737781985822
224,-6246888923989712302
225,-6335527817443031200
226,-6367742369859646290
227,-6387971651752188617
228,-641885332706015562
229,-6436867158860886441
230,-6459276838597422812
231,-647678337844118583
232,-6477152086839235973
233,-6483062780868727655
234,-6485920953755598815
235,-6508049374013203288
236,-6528630824527555826
237,-6529098219030905694
238,-6538757718308160129
239,-653960623298944365
240,-6554787190715943588
241,-6555047736356683148
242,-6559249874452629338
243,-6561484724818123004
244,-6650825212923919459
245,-6668568472132471501
246,-6688622400916552994
247,-6720849438880754673
248,-6732063356501658741
249,-6810169581887533982
250,-6811189384503856103
251,-6825636979443138102
252,-683808336710883373
253,-6870872571760343959
254,-694718296081673949
255,-6949936448954371336
256,-6965537796166785189
257,-6969050153229908945
258,-702063769022380390
259,-7030360920237166714
260,-7034573503756761597
261,-7055506519877140223
262,-7099821209555498751
263,-7140014089720664807
264,-7140426751919971254
265,-7153750305679064145
266,-7157869548539822982
267,-7191815880900565632
268,-7207936904591577531
269,-7221648301305734790
270,-7226629190452339625
271,-7291047305406945771
272,-7324602606007068226
273,-7365318175783188533
274,-736839246514769800
275,-7430852718957600670
276,-7432151961683759568
277,-7467584756618193499
278,-7521901094962732083
279,-75535091576112971
280,-7574036954441544498
281,-7612878196843202325
282,-7638839758035680
283,-7648328073811044824
284,-7657236532842762375
285,-7686686797903824624
286,-7689036669663361004
287,-7723715182116517809
288,-7792178611702309028
289,-7809998042930914346
290,-781109197195243132
291,-7818046014250231985
292,-7820093713010813140
293,-7850910308850229084
294,-7896793800778587250
295,-7924409046716568581
296,-7963486544231454621
297,-7982904542201097459
298,-8006613820033704079
299,-804039651290065439
300,-8041117472456032841
301,-8049510855839127388
302,-8054001866397330447
303,-8074230965389996366
304,-809338751368705429
305,-8116682316751899889
306,-8140327201126128987
307,-814440459687669003
308,-8148558003760418206
309,-8156476212310728850
310,-816196306713002260
311,-8286624049901325116
312,-8289380783204764467
313,-8299809889773574040
314,-8330055213516577390
315,-8348443567838198812
316,-8353405475093469225
317,-8385554111491399495
318,-8385695421243936139
319,-8425743791157482594
320,-8425933059055994650
321,-8453741722247259271
322,-845380407717415265
323,-8463684650171812258
324,-8551593375485997846
325,-8557698164091615119
326,-8558029126954162564
327,-859326882085129131
328,-8607840516776510795
329,-861934705126105157
330,-8631687299829398206
331,-8682722200146064228
332,-8689166439132544050
333,-8714014630063136316
334,-8733132539249310652
335,-8773804408232537379
336,-8820825380794020489
337,-8836604122134436193
338,-8840767215866317870
339,-8894705295203367911
340,-8894788461524728705
341,-8930963458793744903
342,-8955352738759646975
343,-8971734718128539001
344,-9023189933613259965
345,-90727038662084249
346,-9088690164876927903
347,-91617857795132386
348,-9190831902616637151
349,-9212359218854294582
350,-9215921701035518354
351,-9221405510313435829
352,-930794702419748852
353,-973877183987096833
354,-99532966175607458
355,1030761287403909506
356,1030861607933967063
357,1056335587924189931
358,1112871911944244778
359,1114663446458712487
360,1135209185406073197
361,1172852736661377291
362,1227727128416036901
363,1239121639034845096
364,12608478152982826
365,1270975923045429745
366,1272598141202058214
367,1309054410342893419
368,1315451198768282216
369,13835625549189005
370,1391938850483564684
371,1401206047265686434
372,1416449344928685496
373,1435283655405315411
374,1441821773832610687
375,1444216325514343990
376,1458168332783554305
377,1500116317334640431
378,1535583074068286237
379,1536806056159749402
380,1557197475595341234
381,1596080309290550584
382,1610643527361135382
383,1622051857171397810
384,1643819065600517653
385,1655608594195465621
386,1689387674613114667
387,1706523837116884451
388,1724238275387613430
389,1744488958958347097
390,1754947382186897051
391,1801354510756212900
392,1811694616504302388
393,1813851179464808841
394,1818532041670121872
395,1824804369047094023
396,1825362545195630068
397,1843946921972634656
398,1853978778702608787
399,1873603371710267239
400,1880877836911397327
401,1882819785205575342
402,1897960183334264196
403,1907862242724374121
404,193459679930269352
405,1947626991996543661
406,1970249032025055411
407,1974095114082906999
408,197413089653793303
409,1978971590503055521
410,1983213512230811667
411,1998812222166588964
412,1998979039035514842
413,2018015928333128817
414,2032126799370161520
415,205942603941902229
416,2079054500630628050
417,2084462406497898667
418,2085120739547287781
419,2101168462271180094
420,2103712614285052297
421,2105117466117805529
422,2126547957554095009
423,2147765736386887457
424,2166695033864361307
425,2216178882041769983
426,2236754577021954519
427,2263627624101810444
428,2265153482396412066
429,2324900476779413450
430,2340924818843837455
431,2383547606705121100
432,2405900134890460004
433,2423832154619234155
434,2437853527528263332
435,2445662674516338215
436,2458798159426055234
437,2462992227064038854
438,2466364176000821696
439,2476186720631597836
440,2479027514739303183
441,2497680448814826742
442,2511459874265987044
443,2544728617164619888
444,2568994983757403058
445,2590383695347966390
446,2639251888620867402
447,2642674397494652844
448,2644936636482505876
449,266896036315913072
450,2669401123043295329
451,2696418856835255165
452,2703731886619579739
453,2723647696931718217
454,2745337923083433502
455,2794438463747787756
456,2820953268023918077
457,2890351409108050673
458,2911542453433068160
459,2934759313746076779
460,2935245303932322231
461,2942902750715843167
462,3040361587480027503
463,3048596608278672157
464,3054184823275693364
465,3074771250611273293
466,3140482091238147853
467,3141781039761530613
468,3147497940114201569
469,3151112408724701096
470,3215944651782994554
471,3252058551465992298
472,3299546696242067710
473,3304530303509288213
474,3357713686961187228
475,3375457960029368063
476,3403912011860231714
477,3423507520383175516
478,3484176579142737523
479,3508096970709139981
480,3560883711994754354
481,3561189005885836895
482,3596099349781140328
483,3617649945346954163
484,3641213346667363410
485,3674651721709405257
486,3690588342135769403
487,3709961426407971963
488,3734363760523261685
489,3751140674205808783
490,3756269730817286328
491,3769301197196891122
492,3792345894543337291
493,3877679661085329616
494,3907804873656496630
495,3908037707863400902
496,3911133436257776280
497,3917475636034669186
498,3923679939537757782
499,3934330786494694357
500,3998476769988018648
501,4025578086861637599
502,4028764341103818445
503,4101257749965063444
504,4116581521009813672
505,4118932128019747471
506,4168671109103152917
507,4174741067077204848
508,4201330480450077270
509,4211680797398835347
510,4281678746282882507
511,4286344291006467189
512,4336168799610000274
513,4399950946871375227
514,4408864411024307516
515,4415183841130068283
516,441812726350535151
517,4424458690494893258
518,4496465657865018232
519,4497213824147905451
520,450266742138995514
521,4527849666026023929
522,4534906370701159713
523,4568546558823066996
524,4612431587689030172
525,461344679725709543
526,4631656125268536766
527,4642244126023808342
528,4651898277938950047
529,465628915945559990
530,4661589930380459281
531,4681724446514740962
532,4683669774378067614
533,4713441811380055126
534,4731527092242066076
535,4776545721984433702
536,4807333818606185992
537,4856684765008893013
538,4860862531174713006
539,4876519404118767625
540,4925212504509965956
541,4943128061314802945
542,4944394471941616638
543,4981924219389224217
544,5069127474605540768
545,5100815424449862591
546,5103634422680487672
547,522333850328332069
548,522633946607200300
549,5254912154391653537
550,5271771538970840283
551,5304169411078336610
552,5304541662818362266
553,5305014451993946534
554,532342982488973172
555,5333597754332194335
556,5345993529885915940
557,5351869948896770913
558,5361080985667681926
559,5366400551379791972
560,5396936597310548581
561,540262123856998731
562,542009806433449598
563,5454196086035642390
564,5461287862238262172
565,5483324975095927683
566,5530574831873823780
567,5542388212308879443
568,5551028479981095625
569,5652232162459108045
570,56856107549414564
571,5735405458925326543
572,5740361175836246381
573,5745332175467231773
574,5746719202949866434
575,5746971031254025438
576,5757270424284677695
577,5820803283917487342
578,5857944633962909834
579,5858206430170814591
580,5874158619662441175
581,5905650088890980532
582,5934517756964685033
583,597372832999055528
584,5974525857587806349
585,6030765418480115554
586,6055835778532338513
587,6075470705800251807
588,6089706399885906315
589,6144335021487759808
590,6165277088916834017
591,6191527294440585937
592,6217701841771476491
593,6236077446945003365
594,6262885913124679868
595,6321320097219260140
596,6338096152676330894
597,634565329435007721
598,6346810280364957510
599,6347677850823564715
600,6359230714617803548
601,6359749307485054893
602,6383063947856657975
603,6386040824107040991
604,6415504144508898342
605,6445721484338638524
606,6478808856238069889
607,6497616863106691573
608,6502156328163784414
609,6502303333756025967
610,6515246538929887996
611,6515291515799861767
612,6527306476712657067
613,6531930980591892054
614,6536128111500436890
615,655751619108090615
616,6588231721150624914
617,6619530900668871773
618,6633711489961225934
619,6660150832770676554
620,6706936975924217543
621,6762980127945112427
622,6771283846992121722
623,6776202438792784405
624,6807701980410857407
625,6830532847787111027
626,6833735103241008862
627,6869194189201531596
628,688514674509392111
629,6888944791448553400
630,6894504397941242248
631,691205466194376511
632,6927146015218290329
633,6965753912815389556
634,699107891649980076
635,7012247028724110226
636,7016019628017771783
637,7041987018660879909
638,7074318464321054653
639,7080229892107845400
640,7089137012855627786
641,7099728311668861821
642,710973518737806848
643,713531290049695300
644,7148753940245439812
645,7151606719275056352
646,7186873815594515823
647,7202299462338645173
648,723321381619482611
649,7255239130670710022
650,7277524144843033849
651,728144289746942042
652,7303749197675363359
653,7315911277383529493
654,7330209143801668860
655,7346307195670230922
656,7361347661641208429
657,7379308387271244241
658,7466346362776293226
659,7470478986187106035
660,748522260497776973
661,7556612673991404518
662,7575087341348739013
663,7604489673929377496
664,7624665106685351170
665,7644111098487913818
666,7649254551787655826
667,7681559784608965196
668,7692639177717688478
669,7710746745920131018
670,7722204000693864047
671,7722259034419551319
672,7725839505462261463
673,7749309406145954049
674,7771035470746933413
675,7800024012977097232
676,7834516257211580148
677,7852465164599698161
678,7866158614607619089
679,790360683690520778
680,7948232149813529685
681,7960457666530672586
682,7978747053447862871
683,7983361504090468022
684,7992099817197638769
685,7992843040462873166
686,799511949408239093
687,8002449745163938149
688,8010741868956993218
689,8030451491615126764
690,8044743903952045480
691,8072397233148323694
692,8072416612420928240
693,8112259532965094414
694,8124107657899971439
695,813985591513517003
696,8142922305296725414
697,817047050170665975
698,8171250579327107023
699,8180816002721912970
700,8261905725995338922
701,8325228546832495578
702,833670545830613221
703,8366685296281366557
704,8376081099122980433
705,8409513976707788794
706,8459067086276982316
707,8460240121716144698
708,8479149565436834873
709,8515344946680844818
710,8526851448906485320
711,8541067645190369594
712,8579033044441938004
713,8581055912873173590
714,860087713358687580
715,8603926466638692081
716,8610378261454617847
717,8614178873865901602
718,867712136283809616
719,8703075882165822765
720,8731979303690334416
721,8732747911428537693
722,8768147614562809909
723,8782672317230447778
724,8814239314811133615
725,8853180463163844569
726,8882028009541975226
727,8882862791433721722
728,8884082107026614373
729,8886144114619169253
730,8886524763396752520
731,890140358870966492
732,892392881379564588
733,8931407120322983957
734,8934048152803936311
735,8954420160516502648
736,8963932600544524791
737,9032393467447326209
738,9065470435921179343
739,9114324332147869982
740,912700613781949239
741,9149625526357060704
742,9202204272208156818
743,920332081415138775
744,930124461134778983
745,935346003160692168
746,943125820577516833
747,963255640946853770
748,963694477603925530
749,966663640331506400
